City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,31.39,70,40,8.75,MP,1701405677
1,adamstown,-25.066,-130.1015,21.56,70,31,3.26,PN,1701405677
2,albany,42.6001,-73.9662,6.52,71,46,0.89,US,1701405678
3,itupiranga,-5.1347,-49.3267,25.18,83,22,2.04,BR,1701405678
4,waitangi,-43.9535,-176.5597,13.79,74,8,1.79,NZ,1701405678
5,ancud,-41.8697,-73.8203,11.25,87,100,6.87,CL,1701405678
6,talnakh,69.4865,88.3972,-19.89,92,84,0.89,RU,1701405679
7,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,77,20,8.0,RU,1701405478
8,thompson,55.7435,-97.8558,-19.91,65,0,5.14,CA,1701405679
9,ust'-barguzin,53.45,108.9833,-5.47,76,100,3.26,RU,1701405680
10,brookings,44.3114,-96.7984,-3.79,71,0,0.0,US,1701405680
11,korop,51.5664,32.9586,-2.06,97,100,5.34,UA,1701405681
12,toba,34.4833,136.85,11.16,51,82,4.02,JP,1701405681
13,east london,-33.0153,27.9116,18.52,72,0,6.69,ZA,1701405682
14,bengkulu,-3.8004,102.2655,27.69,74,100,2.39,ID,1701405683
15,puerto ayora,-0.7393,-90.3518,24.75,91,94,2.68,EC,1701405683
16,stanley,54.868,-1.6985,-0.96,93,66,1.66,GB,1701405684
17,puerto real,36.5282,-6.1901,18.07,88,100,6.69,ES,1701405684
18,malpica,43.3228,-8.8105,11.79,71,82,6.0,ES,1701405684
19,saijo,33.9167,133.1833,10.96,73,94,6.39,JP,1701405685
20,avarua,-21.2078,-159.775,26.03,73,95,4.12,CK,1701405685
21,antofagasta,-23.65,-70.4,18.6,76,9,1.79,CL,1701405686
22,san luis de la loma,17.2706,-100.8939,25.55,77,100,1.78,MX,1701405687
23,nuuk,64.1835,-51.7216,6.34,56,75,2.57,GL,1701405581
24,gadzhiyevo,69.2551,33.3362,-13.98,98,91,3.21,RU,1701405688
25,udachny,66.4167,112.4,-24.2,83,77,7.85,RU,1701405537
26,pervomayskoye,43.919,46.7102,7.25,88,28,2.4,RU,1701405689
27,puerto natales,-51.7236,-72.4875,1.29,79,9,3.03,CL,1701405690
28,margaret river,-33.95,115.0667,22.79,61,5,3.96,AU,1701405690
29,isafjordur,66.0755,-23.124,-1.48,77,100,5.67,IS,1701405691
30,nouadhibou,20.931,-17.0347,19.99,88,100,2.57,MR,1701405691
31,egilsstadir,65.2653,-14.3948,-0.05,93,100,6.17,IS,1701405692
32,badger,64.8,-147.5333,-7.58,89,75,0.0,US,1701405692
33,arkhangel'sk,64.5401,40.5433,-10.94,92,75,6.0,RU,1701405641
34,san rafael,-34.6177,-68.3301,19.42,64,49,1.69,AR,1701405631
35,salahonda,2.1019,-78.7217,25.97,85,99,3.02,CO,1701405694
36,vorgashor,67.5833,63.95,-21.72,96,76,1.76,RU,1701405695
37,tura,25.5198,90.2201,25.47,49,2,1.0,IN,1701405695
38,grytviken,-54.2811,-36.5092,3.29,90,88,4.6,GS,1701405696
39,vila franca do campo,37.7167,-25.4333,13.23,67,89,2.13,PT,1701405696
40,kapiri mposhi,-13.9652,28.6809,18.38,92,100,3.04,ZM,1701405696
41,monrovia,6.3005,-10.7969,23.87,83,45,0.57,LR,1701405594
42,port elizabeth,-33.918,25.5701,19.06,80,0,4.63,ZA,1701405698
43,bilibino,68.0546,166.4372,-26.01,88,75,1.78,RU,1701405698
44,port mathurin,-19.6833,63.4167,25.31,78,27,6.28,MU,1701405698
45,namdrik,5.5994,168.1028,27.45,82,71,8.74,MH,1701405699
46,shenjiamen,29.9576,122.298,8.53,42,5,9.11,CN,1701405699
47,hermanus,-34.4187,19.2345,18.51,84,12,8.11,ZA,1701405699
48,bamboo flat,11.7,92.7167,29.05,79,100,2.57,IN,1701405700
49,truro,50.2653,-5.0544,2.6,80,83,4.63,GB,1701405700
50,tiksi,71.6872,128.8694,-23.08,95,100,8.79,RU,1701405701
51,cockburn town,21.4612,-71.1419,27.18,74,55,9.76,TC,1701405701
52,invercargill,-46.4,168.35,14.08,52,1,4.98,NZ,1701405701
53,poronaysk,49.2167,143.1167,-8.49,71,4,1.48,RU,1701405702
54,ternate,0.8,127.4,29.33,72,41,2.56,ID,1701405580
55,jamestown,42.097,-79.2353,8.08,61,75,3.6,US,1701405659
56,afaahiti,-17.75,-149.2833,27.93,89,93,7.39,PF,1701405703
57,kailua-kona,19.6406,-155.9956,24.98,86,75,5.14,US,1701405653
58,port-aux-francais,-49.35,70.2167,2.03,81,36,13.93,TF,1701405704
59,andergrove,-21.0833,149.1833,32.58,75,68,8.12,AU,1701405704
60,iqaluit,63.7506,-68.5145,-3.15,79,100,12.35,CA,1701405705
61,punta arenas,-53.15,-70.9167,1.06,86,20,4.63,CL,1701405705
62,klyuchi,52.2667,79.1667,0.31,55,79,5.92,RU,1701405705
63,sao gabriel da cachoeira,-0.1303,-67.0892,22.42,99,99,0.91,BR,1701405705
64,gornozavodsk,58.3758,58.3211,-11.04,97,100,0.93,RU,1701405706
65,jackson,42.4165,-122.8345,5.58,94,100,0.45,US,1701405597
66,north ward,-19.2454,146.8075,29.49,63,11,5.62,AU,1701405706
67,siwa oasis,29.2041,25.5195,13.48,50,1,1.34,EG,1701405706
68,san angelo,31.4638,-100.437,11.97,54,1,0.45,US,1701405676
69,moissala,8.3404,17.7663,23.02,45,33,1.3,TD,1701405707
70,bulungu,-4.55,18.6,20.81,98,86,0.29,CD,1701405707
71,livingstone,-17.8419,25.8543,20.24,72,100,4.0,ZM,1701405708
72,praia da vitoria,38.7333,-27.0667,12.64,87,75,1.07,PT,1701405708
73,at taj,24.2049,23.2857,13.0,37,0,3.52,LY,1701405553
74,hotan,37.0997,79.9269,5.16,23,100,0.47,CN,1701405709
75,mukalla,14.5425,49.1242,26.61,56,17,1.09,YE,1701405709
76,akobo,7.4344,3.9497,22.67,96,6,0.37,NG,1701405709
77,beloyarskiy,63.7119,66.6722,-21.2,100,66,1.36,RU,1701405709
78,st. john's,47.5649,-52.7093,-1.91,88,75,3.09,CA,1701405537
79,fort mcmurray,56.7268,-111.381,-4.23,80,100,2.06,CA,1701405710
80,kapuskasing,49.4169,-82.4331,-13.95,92,0,3.09,CA,1701405482
81,labrador city,52.9463,-66.9114,-8.05,93,75,1.03,CA,1701405711
82,inarajan village,13.2736,144.7484,31.54,84,39,7.55,GU,1701405711
83,blackmans bay,-43.0167,147.3167,18.74,61,76,1.79,AU,1701405711
84,tallbisah,34.8406,36.7309,9.68,73,59,1.24,SY,1701405711
85,edinburgh of the seven seas,-37.0676,-12.3116,12.72,71,96,8.09,SH,1701405712
86,puerto baquerizo moreno,-0.9,-89.6,24.08,79,43,3.97,EC,1701405712
87,hasaki,35.7333,140.8333,10.22,62,100,1.65,JP,1701405415
88,labytnangi,66.6572,66.4183,-23.77,100,83,0.95,RU,1701405516
89,ca mau,9.1769,105.15,30.79,61,99,6.25,VN,1701405713
90,west bay,19.3667,-81.4167,27.22,84,53,0.89,KY,1701405713
91,changtu,42.7788,124.0955,-7.12,64,11,4.11,CN,1701405713
92,felege neway,6.3,36.8833,19.47,56,91,0.57,ET,1701405714
93,uspenskoye,44.8311,41.3927,6.5,93,98,3.44,RU,1701405714
94,bermejo,-32.8833,-68.8,22.95,88,40,1.54,AR,1701405714
95,fuglafjordur,62.244,-6.814,1.26,66,85,7.93,FO,1701405715
96,el bauga,18.262,33.9081,22.23,75,0,4.02,SD,1701405715
97,new norfolk,-42.7826,147.0587,19.4,43,87,2.64,AU,1701405715
98,mount gambier,-37.8333,140.7667,18.66,63,92,4.92,AU,1701405715
99,dul'durga,50.6761,113.5931,-9.15,76,100,5.96,RU,1701405716
100,bengbu,32.9408,117.3608,8.26,17,1,2.57,CN,1701405716
101,al kharj,24.155,47.3346,15.32,29,0,0.89,SA,1701405716
102,gaiman,-43.2897,-65.4929,19.36,37,67,3.17,AR,1701405716
103,praia,14.9215,-23.5087,24.3,78,75,5.14,CV,1701405717
104,bodo,67.28,14.405,-4.98,73,0,5.66,NO,1701405717
105,olonkinbyen,70.9221,-8.7187,-1.18,74,43,6.15,SJ,1701405717
106,chonchi,-42.6128,-73.8092,11.18,97,100,2.2,CL,1701405718
107,nohar,29.1833,74.7667,21.02,54,18,2.37,IN,1701405718
108,bonthe,7.5264,-12.505,25.23,89,59,1.79,SL,1701405718
109,kilindoni,-7.9139,39.6668,28.02,77,62,4.65,TZ,1701405718
110,dunda,-8.1167,34.25,18.58,93,100,0.83,TZ,1701405719
111,ar ruseris,11.8659,34.3869,26.87,30,15,1.87,SD,1701405719
112,kodiak,57.79,-152.4072,0.73,93,100,2.57,US,1701405573
113,nanfeng,23.7434,111.7959,16.99,58,93,3.15,CN,1701405720
114,sovetskiy,61.3614,63.5842,-9.5,95,100,3.13,RU,1701405720
115,mamuju,-2.6748,118.8885,29.32,74,50,2.32,ID,1701405720
116,daytona beach,29.2108,-81.0228,20.05,87,100,1.79,US,1701405500
117,fale old settlement,-9.3852,-171.2468,29.26,77,85,7.71,TK,1701405721
118,nar'yan-mar,67.6713,53.087,-9.38,98,100,1.79,RU,1701405721
119,tevriz,57.509,72.4042,-2.91,92,100,2.33,RU,1701405721
120,padangsidempuan,1.3667,99.2667,30.03,65,97,1.35,ID,1701405722
121,tabou,4.423,-7.3528,25.07,89,65,1.36,CI,1701405451
122,fort bragg,35.139,-79.006,7.12,79,0,0.0,US,1701405722
123,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,2.06,US,1701405722
124,bethel,41.3712,-73.414,9.2,67,0,4.12,US,1701405723
125,yellowknife,62.456,-114.3525,-14.71,85,100,3.6,CA,1701405723
126,macapa,0.0389,-51.0664,25.99,89,75,1.03,BR,1701405723
127,qaqortoq,60.7167,-46.0333,0.45,70,100,4.92,GL,1701405724
128,garoowe,8.4054,48.4845,24.98,38,66,7.83,SO,1701405724
129,kourou,5.1552,-52.6478,25.03,83,77,2.94,GF,1701405724
130,scarborough,54.2797,-0.4044,1.06,92,99,0.45,GB,1701405573
131,springs,-26.25,28.4,15.09,63,0,3.96,ZA,1701405725
132,outjo,-20.1167,16.15,20.15,55,96,3.18,NA,1701405725
133,port lincoln,-34.7333,135.8667,18.01,60,13,7.68,AU,1701405725
134,ilulissat,69.2167,-51.1,6.01,28,54,13.89,GL,1701405725
135,port alfred,-33.5906,26.891,18.43,79,4,1.34,ZA,1701405726
136,ussuriysk,43.7986,131.9508,-5.1,52,13,3.23,RU,1701405726
137,kruisfontein,-34.0033,24.7314,26.01,27,0,4.66,ZA,1701405726
138,morigaon,26.3796,92.3415,24.42,54,17,2.93,IN,1701405727
139,toul,48.6667,5.9167,7.16,97,100,2.06,FR,1701405727
140,north platte,41.1239,-100.7654,-1.6,80,20,0.89,US,1701405622
141,ushuaia,-54.8,-68.3,5.81,49,0,1.03,AR,1701405612
142,kilimatinde,-5.85,34.95,23.52,65,97,0.47,TZ,1701405728
143,hamilton,39.1834,-84.5333,12.35,52,100,3.58,US,1701405728
144,bridlington,54.0831,-0.1919,0.85,64,98,5.7,GB,1701405728
145,lang suan,9.9456,99.0785,28.92,70,93,3.44,TH,1701405729
146,nemuro,43.3236,145.575,0.03,42,15,7.22,JP,1701405729
147,west island,-12.1568,96.8225,27.99,61,41,6.17,CC,1701405729
148,qamdo,31.1667,97.2333,0.22,31,51,3.57,CN,1701405729
149,nova sintra,14.8667,-24.7167,22.07,76,100,4.95,CV,1701405443
150,pucon,-39.2822,-71.9543,10.24,96,57,1.68,CL,1701405730
151,papatowai,-46.5619,169.4708,12.56,58,10,3.9,NZ,1701405730
152,dunedin,-45.8742,170.5036,12.2,67,20,4.65,NZ,1701405731
153,vladikavkaz,43.0367,44.6678,4.66,93,75,3.0,RU,1701405731
154,remire-montjoly,4.9167,-52.2667,25.02,88,0,0.0,GF,1701405732
155,luganville,-15.5333,167.1667,28.45,74,73,5.08,VU,1701405732
156,namibe,-15.1961,12.1522,23.79,82,100,2.09,AO,1701405733
157,arraial do cabo,-22.9661,-42.0278,23.29,92,0,4.31,BR,1701405733
158,ushtobe,45.2514,77.9838,5.36,69,99,2.31,KZ,1701405733
159,gaspe,48.8334,-64.4819,1.95,69,75,2.57,CA,1701405733
160,barcelos,41.5388,-8.6151,9.91,84,85,1.21,PT,1701405527
161,shimo-furano,43.35,142.3833,-5.78,90,100,3.85,JP,1701405734
162,gamba,-2.65,10.0,24.36,94,100,2.84,GA,1701405734
163,mitu,1.1983,-70.1733,22.37,98,100,0.41,CO,1701405601
164,farafangana,-22.8167,47.8333,24.6,87,99,5.19,MG,1701405735
165,balashov,51.5502,43.1667,-2.99,78,38,2.75,RU,1701405735
166,alofi,-19.0595,-169.9187,28.94,70,75,4.63,NU,1701405735
167,laojunmiao,39.8333,97.7333,2.84,12,2,1.96,CN,1701405736
168,blora,-6.9698,111.4186,29.61,70,100,2.61,ID,1701405736
169,happy valley-goose bay,53.3168,-60.3315,-5.83,73,40,4.12,CA,1701405736
170,dikhil,11.5,42.1667,23.03,59,97,2.89,DJ,1701405737
171,yokadouma,3.5167,15.05,20.55,93,23,0.24,CM,1701405737
172,georgetown,5.4112,100.3354,31.96,70,20,3.09,MY,1701405590
173,yulinshi,38.2906,109.7494,-2.21,24,0,1.9,CN,1701405737
174,kassala,15.451,36.4,24.38,58,79,3.19,SD,1701405739
175,itoman,26.1247,127.6694,21.43,57,75,5.66,JP,1701405739
176,flying fish cove,-10.4217,105.6791,28.82,61,75,4.63,CX,1701405739
177,bondo,3.8146,23.6866,19.68,97,49,0.73,CD,1701405740
178,iquique,-20.2208,-70.1431,19.02,74,49,1.18,CL,1701405740
179,singarayakonda,15.25,80.0333,26.22,78,100,5.2,IN,1701405740
180,hualien city,23.9769,121.6044,19.38,91,100,6.47,TW,1701405741
181,termoli,41.9888,14.9895,17.62,69,100,7.84,IT,1701405741
182,aasiaat,68.7098,-52.8699,-3.38,80,93,0.7,GL,1701405741
183,altos,-5.0381,-42.46,27.17,83,49,2.27,BR,1701405504
184,guerrero negro,27.9769,-114.0611,18.22,68,91,4.76,MX,1701405742
185,zhelezinka,53.54,75.3072,-1.04,85,87,6.85,KZ,1701405742
186,nyurba,63.2842,118.3319,-27.82,97,59,2.22,RU,1701405743
187,korla,41.7597,86.1469,3.69,36,100,2.27,CN,1701405743
188,usakos,-22.0,15.6,20.75,61,65,1.78,NA,1701405743
189,wenling,28.3669,121.36,11.27,42,99,6.43,CN,1701405744
190,nova vicosa,-17.8919,-39.3719,24.22,89,100,3.68,BR,1701405744
191,mzimba,-11.9,33.6,17.95,93,100,3.2,MW,1701405744
192,eminabad,32.0422,74.2594,20.37,45,5,2.74,PK,1701405745
193,alice springs,-23.7,133.8833,28.75,42,0,2.57,AU,1701405745
194,buta,2.7858,24.73,20.4,97,65,0.92,CD,1701405745
195,pyapon,16.2833,95.6833,31.6,50,71,4.75,MM,1701405746
196,whitehorse,60.7161,-135.0538,-6.57,79,75,5.14,CA,1701405746
197,todos santos,23.45,-110.2167,21.36,63,45,2.36,MX,1701405734
198,richards bay,-28.783,32.0377,20.06,63,17,3.27,ZA,1701405747
199,ribeira grande,38.5167,-28.7,15.43,67,97,3.13,PT,1701405747
200,hadibu,12.65,54.0333,26.76,64,99,7.94,YE,1701405747
201,boende,-0.2167,20.8667,21.32,94,89,0.67,CD,1701405748
202,lihue,21.9789,-159.3672,24.58,89,100,6.69,US,1701405748
203,luleburgaz,41.4039,27.3592,11.97,91,84,4.01,TR,1701405748
204,port hedland,-20.3167,118.5667,32.03,55,18,8.75,AU,1701405749
205,portland,45.5234,-122.6762,4.78,93,100,3.09,US,1701405681
206,taro,-8.3862,115.28,23.0,87,99,1.16,ID,1701405749
207,okhotsk,59.3833,143.3,-21.91,85,8,5.74,RU,1701405558
208,tazovsky,67.4667,78.7,-22.88,100,70,1.69,RU,1701405750
209,vila velha,-20.3297,-40.2925,25.97,85,20,4.12,BR,1701405547
210,ta`u,-14.2336,-169.5144,28.03,82,57,7.52,AS,1701405750
211,longyearbyen,78.2186,15.6401,-10.09,62,20,7.2,SJ,1701405750
212,valparaiso,-33.0393,-71.6273,13.8,94,100,1.54,CL,1701405713
213,cidreira,-30.1811,-50.2056,21.1,96,51,3.97,BR,1701405751
214,karratha,-20.7377,116.8463,32.05,41,6,9.96,AU,1701405751
215,holualoa,19.6228,-155.9522,22.91,87,75,5.14,US,1701405752
216,myeik,12.4333,98.6,31.42,58,22,1.12,MM,1701405752
217,gasa,31.5,34.4667,17.53,74,1,1.73,PS,1701405752
218,broken hill,-31.95,141.4333,24.67,34,100,2.51,AU,1701405752
219,pont rouge,48.8833,-72.0825,2.16,98,100,4.01,CA,1701405753
220,launceston,-41.45,147.1667,20.8,49,100,3.6,AU,1701405561
221,atafu village,-8.5421,-172.5159,29.38,77,99,7.01,TK,1701405753
222,carrigaline,51.8117,-8.3986,0.34,86,20,5.66,IE,1701405753
223,cobija,-11.0267,-68.7692,22.7,98,100,2.23,BO,1701405754
224,utrik,11.2278,169.8474,27.43,77,100,9.11,MH,1701405754
225,hovd,48.0056,91.6419,-10.06,77,78,1.12,MN,1701405754
226,nasarawa,8.5294,7.7242,24.48,55,4,0.8,NG,1701405755
227,ad dujayl,33.8467,44.2344,13.44,46,91,3.69,IQ,1701405755
228,ketchikan,55.3422,-131.6461,5.26,87,100,10.29,US,1701405756
229,huron,41.1501,-82.5499,10.38,64,57,5.7,US,1701405756
230,wotho,10.1657,166.0102,28.06,78,98,8.6,MH,1701405756
231,uturoa,-16.7333,-151.4333,27.03,85,88,8.15,PF,1701405756
232,morant bay,17.8815,-76.4093,26.79,81,30,3.5,JM,1701405757
233,sinabang,2.4803,96.3801,27.95,78,89,1.03,ID,1701405757
234,lebu,-37.6167,-73.65,12.36,82,92,2.01,CL,1701405757
235,quibala,-10.7337,14.98,15.36,98,87,0.47,AO,1701405758
236,lerwick,60.1545,-1.1494,1.0,69,69,1.38,GB,1701405758
237,kenai,60.5544,-151.2583,0.08,98,100,0.0,US,1701405758
238,el paso,31.8001,-106.2005,11.81,38,40,3.09,US,1701405743
239,enewetak,11.3474,162.3373,27.63,79,100,7.48,MH,1701405759
240,susuman,62.7833,148.1667,-20.0,99,100,1.45,RU,1701405759
241,svetlyy yar,48.4748,44.781,-1.22,77,47,1.12,RU,1701405759
242,oban,56.4127,-5.4706,-2.01,81,94,1.29,GB,1701405760
243,westport,41.1415,-73.3579,9.9,66,0,6.17,US,1701405524
244,iskateley,67.6803,53.1512,-9.43,98,100,1.79,RU,1701405760
245,tame,6.461,-71.73,23.44,60,38,2.74,CO,1701405760
246,taroudant,30.4703,-8.877,15.57,25,33,0.97,MA,1701405761
247,itaituba,-4.2761,-55.9836,23.27,91,12,0.85,BR,1701405761
248,leava,-14.3,-178.1667,28.45,80,99,6.42,WF,1701405761
249,tsiombe,-25.3,45.4833,21.69,71,100,5.31,MG,1701405762
250,mejit,10.2753,170.8646,27.66,77,100,8.74,MH,1701405762
251,san rafael del yuma,18.4299,-68.6739,26.76,87,6,3.88,DO,1701405762
252,kristiansund,63.1115,7.732,-1.64,69,100,2.57,NO,1701405763
253,mthatha,-31.5889,28.7844,14.31,88,0,0.0,ZA,1701405763
254,aral,40.5156,81.2636,5.01,36,100,1.2,CN,1701405763
255,colonia,50.9333,6.95,1.57,87,100,1.54,DE,1701405763
256,magadan,59.5667,150.8,-9.15,88,100,8.08,RU,1701405764
257,cacheu,12.2706,-16.1658,25.05,68,90,2.04,GW,1701405764
258,prince rupert,54.3161,-130.3201,6.83,78,0,11.83,CA,1701405764
259,castillos,-34.1667,-53.8333,19.04,98,69,3.07,UY,1701405765
260,san patricio,28.017,-97.5169,21.92,92,100,0.38,US,1701405765
261,nongpoh,25.9,91.8833,19.76,48,9,1.82,IN,1701405765
262,anadyr,64.75,177.4833,-5.72,73,20,3.0,RU,1701405766
263,dryden,49.7833,-92.7503,-11.84,92,40,3.09,CA,1701405766
264,ulsteinvik,62.3432,5.8487,1.53,61,66,0.45,NO,1701405766
265,minas de marcona,-15.2119,-75.1103,13.93,87,58,5.14,PE,1701405767
266,semenivka,52.1783,32.5818,-3.01,97,100,4.11,UA,1701405767
267,kayyerkan,69.3786,87.7439,-19.84,83,82,1.82,RU,1701405767
268,brisas de zicatela,15.8369,-97.0419,25.29,73,0,1.54,MX,1701405768
269,parry sound,45.3501,-80.033,5.95,81,98,4.76,CA,1701405768
270,'ain benian,36.8028,2.9219,14.03,41,99,2.64,DZ,1701405768
271,howrah,22.5892,88.3103,27.0,57,15,4.63,IN,1701405768
272,murzuq,25.9155,13.9184,14.12,28,0,3.69,LY,1701405769
273,general villegas,-35.0328,-63.0125,19.24,93,57,2.68,AR,1701405633
274,mkushi,-13.6202,29.3939,18.27,94,100,2.94,ZM,1701405769
275,muyinga,-2.8333,30.3333,16.4,90,68,0.68,BI,1701405770
276,letlhakane,-21.4167,25.5833,18.58,67,3,7.48,BW,1701405770
277,vesoul,47.5833,5.8333,6.16,98,100,0.4,FR,1701405770
278,saint-philippe,-21.3585,55.7679,28.77,65,62,4.21,RE,1701405772
279,sitka,57.0531,-135.33,2.94,81,40,0.0,US,1701405772
280,corner brook,48.9667,-57.9484,-0.91,81,89,2.96,CA,1701405772
281,san antonio de pale,-1.4014,5.6325,26.78,82,98,5.49,GQ,1701405772
282,nogliki,51.8333,143.1667,-11.48,72,42,6.26,RU,1701405773
283,binhe,32.6883,112.8275,9.71,35,62,2.62,CN,1701405773
284,nagqu,31.5,92.0,-1.77,31,8,3.74,CN,1701405773
285,sungai penuh,-2.0833,101.3833,22.95,76,100,0.7,ID,1701405773
286,tadine,-21.55,167.8833,25.38,72,64,3.17,NC,1701405774
287,bam,29.106,58.357,17.77,40,2,1.08,IR,1701405774
288,ust-nera,64.5667,143.2,-25.17,99,100,1.12,RU,1701405774
289,alesund,62.4723,6.1549,1.53,63,100,3.09,NO,1701405775
